feature,coefficient
prim_contributory_cause_IMPROPER BACKING,-1.8772340519902875
prim_contributory_cause_IMPROPER OVERTAKING/PASSING,-1.4209803385912936
prim_contributory_cause_IMPROPER LANE USAGE,-1.246010638333652
prim_contributory_cause_FOLLOWING TOO CLOSELY,-0.9611660729853393
prim_contributory_cause_DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,-0.8404199827290376
prim_contributory_cause_UNABLE TO DETERMINE,-0.7546076016150436
prim_contributory_cause_NOT APPLICABLE,-0.729782696050793
prim_contributory_cause_IMPROPER TURNING/NO SIGNAL,-0.7015579612746439
lighting_condition_UNKNOWN,-0.564815976347773
traffic_control_device_OTHER,0.5595229736094289
num_people,0.4881487194499717
traffic_control_device_STOP SIGN/FLASHER,0.4455978682330466
prim_contributory_cause_WEATHER,-0.43357263982419
prim_contributory_cause_DISREGARDING TRAFFIC SIGNALS,0.38364878455019147
traffic_control_device_TRAFFIC SIGNAL,0.33473259441747233
latitude,-0.3175957163101178
roadway_surface_cond_UNKNOWN,-0.3058119215769674
longitude,-0.30273091689949183
roadway_surface_cond_SNOW OR SLUSH,-0.2986828081039143
weather_condition_UNKNOWN,-0.2823805369715788
roadway_surface_cond_ICE,-0.27467309604215745
weather_condition_OTHER,0.23228502653469513
roadway_surface_cond_OTHER,0.21632775862841006
"lighting_condition_DARKNESS, LIGHTED ROAD",0.18262985032281354
"roadway_surface_cond_SAND, MUD, DIRT",0.18196211276711402
traffic_control_device_UNKNOWN,0.1655559728697442
posted_speed_limit,0.15875642649251684
"prim_contributory_cause_OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",-0.15767615823637157
lighting_condition_DAWN,0.1310931763559968
prim_contributory_cause_OTHER,0.12093108952310075
prim_contributory_cause_FAILING TO REDUCE SPEED TO AVOID CRASH,-0.10477952549968109
lighting_condition_DAYLIGHT,-0.0849487780631704
road_defect_UNKNOWN,0.07224286750858762
prim_contributory_cause_FAILING TO YIELD RIGHT-OF-WAY,-0.06941191677736318
roadway_surface_cond_WET,0.06465617320850707
weather_condition_CLOUDY/OVERCAST,0.05578755850655391
num_units,0.05254688500496811
weather_condition_SNOW,-0.04633285941135047
crash_month,0.026159665997856466
crash_hour,-0.025641104834109977
weather_condition_RAIN,0.023753539245329365
age_mean,-0.023716233156757385
crash_day_of_week,-0.01791116703659947
road_defect_OTHER,0.012818045551457656
lighting_condition_DUSK,0.007176136238759889
any_alcohol,0.0
